Total Steps:  67296 Episode:  102 Reward:  1358.4000000000665 Episode TimeSteps:  929 Sand Penalty:  31802.600000000053 NonSand Reward:  42540 Distance Reward:  43820 Goal Reward:  -6694.50000000695
Total Steps:  67796 Episode:  103 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  32053.800000000054 NonSand Reward:  42540 Distance Reward:  43820 Goal Reward:  -6744.500000007132
Total Steps:  68658 Episode:  104 Reward:  678.5999999999826 Episode TimeSteps:  862 Sand Penalty:  32439.000000000055 NonSand Reward:  43480 Distance Reward:  44240 Goal Reward:  -6830.700000007446
Total Steps:  69267 Episode:  105 Reward:  42.39999999999777 Episode TimeSteps:  609 Sand Penalty:  32725.700000000055 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -6891.600000007667
Total Steps:  69767 Episode:  106 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  32976.90000000005 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -6941.600000007849
Total Steps:  70267 Episode:  107 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  33228.10000000005 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -6991.600000008031
Total Steps:  70767 Episode:  108 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  33479.30000000005 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -7041.600000008213
Total Steps:  71267 Episode:  109 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  33730.500000000044 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -7091.600000008395
Total Steps:  71767 Episode:  110 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  33981.70000000004 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -7141.600000008577
Total Steps:  72267 Episode:  111 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  34232.90000000004 NonSand Reward:  43860 Distance Reward:  44260 Goal Reward:  -7191.600000008759
Total Steps:  73267 Episode:  112 Reward:  4511.799999999852 Episode TimeSteps:  1000 Sand Penalty:  34581.100000000035 NonSand Reward:  46900 Distance Reward:  48100 Goal Reward:  -7291.600000009123
Total Steps:  73767 Episode:  113 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  34832.30000000003 NonSand Reward:  46900 Distance Reward:  48100 Goal Reward:  -7341.6000000093045
